,Title,Releasing year,Watch Time,Rating,Genre,Votes,Synopsis,Cast,Director
37,The Morning Show,I 2019–,60 min,8.4,Drama,"76,897","An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual.","['Jennifer Aniston', 'Reese Witherspoon', 'Billy Crudup', 'Nestor Carbonell']",Reese Witherspoon
38,The Office,2005–2013,22 min,8.9,Comedy,"479,636","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","['Steve Carell', 'Jenna Fischer', 'John Krasinski', 'Rainn Wilson']",Jenna Fischer
39,Chucky,2021–,42 min,7.5,"Horror, Mystery, Thriller","5,161","After a vintage Chucky doll turns up at a suburban yard sale, an idyllic American town is thrown into chaos as a series of horrifying murders begin to expose the town's hypocrisies and secrets.","['Zackary Arthur', 'Brad Dourif', 'Bjorgvin Arnarson', 'Alyvia Alyn Lind']",Brad Dourif
40,The Blacklist,2013–,43 min,8.0,"Crime, Drama, Mystery","221,858","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","['James Spader', 'Megan Boone', 'Diego Klattenhoff', 'Ryan Eggold']",Megan Boone
41,Curb Your Enthusiasm,2000–,28 min,8.7,Comedy,"112,502",The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,"['Larry David', 'Larry David', 'Cheryl Hines', 'Jeff Garlin', 'Susie Essman']",Larry David
42,After We Fell,2021,98 min,4.8,Drama,"5,371","Just as Tessa makes the biggest decision of her life, everything changes. Revelations about her family, and then Hardin's, throw everything they knew before in doubt and makes their hard-won future together more difficult to claim.","['Castille Landon', 'Josephine Langford', 'Hero Fiennes Tiffin', 'Louise Lombard', 'Chance Perdomo']",Josephine Langford
43,Undercover,2021–,50 min,8.0,"Action, Crime, Drama","7,859",The story about a woman who joins an organized crime ring and infiltrates the police as an undercover agent in order to find out the truth about her father's death.,"['Hee-soon Park', 'Ahn Bo-Hyun', 'Han So-hee', 'Kim Sang-Ho']",Ahn Bo-Hyun
44,American Crime Story,2016–,42 min,8.4,"Biography, Crime, Drama","88,726",An anthology series centered around America's most notorious crimes and criminals.,"['Sarah Paulson', 'Annaleigh Ashford', 'Sterling K. Brown', 'Kenneth Choi']",Annaleigh Ashford
45,Black Widow,2021,134 min,6.8,"Action, Adventure, Sci-Fi","261,886",Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,"['Cate Shortland', 'Scarlett Johansson', 'Florence Pugh', 'David Harbour', 'Rachel Weisz']",Scarlett Johansson
46,The Chestnut Man,2021–,50 min,7.8,"Crime, Drama, Mystery","22,869",A young woman is found brutally murdered in a playground and one of her hands is missing. Above her hangs a small man made of chestnuts.,"['Danica Curcic', 'David Dencik', 'Mikkel Boe Følsgaard', 'Iben Dorner']",David Dencik
47,De slag om de Schelde,2020,124 min,7.1,"Drama, War","14,554","1944, the Second World War. A British glider pilot, a Dutch boy fighting on the German side and a Dutch female resistance member all end up involved in the Battle of the Schelde. Their choices differ, but their goal is the same: freedom.","['Matthijs van Heijningen Jr.', 'Gijs Blom', 'Jamie Flatters', 'Susan Radder', 'Jan Bijvoet']",Gijs Blom
48,Old,2021,108 min,5.8,"Drama, Horror, Mystery","60,703","A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.","['M. Night Shyamalan', 'Gael García Bernal', 'Vicky Krieps', 'Rufus Sewell', 'Alex Wolff']",Gael García Bernal
49,Castle,2009–2016,43 min,8.1,"Comedy, Crime, Drama","148,605","After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.","['Nathan Fillion', 'Stana Katic', 'Susan Sullivan', 'Jon Huertas']",Stana Katic
50,Yellowstone,2018–,60 min,8.6,"Drama, Western","49,860",A ranching family in Montana faces off against others encroaching on their land.,"['Kevin Costner', 'Luke Grimes', 'Kelly Reilly', 'Wes Bentley']",Luke Grimes
51,The Many Saints of Newark,2021,120 min,6.4,"Crime, Drama","32,358","Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.","['Alan Taylor', 'Alessandro Nivola', 'Leslie Odom Jr.', 'Jon Bernthal', 'Vera Farmiga']",Alessandro Nivola
52,Friends,1994–2004,22 min,8.8,"Comedy, Romance","907,525",Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']",Courteney Cox
